mun_fr;mun_ar;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Gafsa;قفصة;قفصة;Liste partisane;Ennahdha;حزب حركة النھضة;3870;0,261398176;10;54251;469;185;14805;15459
Gafsa;قفصة;قفصة;Liste indépendante;Gafsa Aljadyda;قفصة الجدیدة;1035;0,069908815;3;54251;469;185;14805;15459
Gafsa;قفصة;قفصة;Liste indépendante;Gafsa Aljamyla;قفصة الجمیلة;2201;0,148665991;6;54251;469;185;14805;15459
Ghannouch;غنوش;غنوش;Liste partisane;AL IRADA;حراك تونس الارادة;353;0,101787774;2;12675;124;60;3468;3652
Ghannouch;غنوش;غنوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;500;0,144175317;3;12675;124;60;3468;3652
Ghannouch;غنوش;غنوش;Liste partisane;Ennahdha;حزب حركة النھضة;2387;0,688292964;17;12675;124;60;3468;3652
Ghannouch;غنوش;غنوش;Liste indépendante;Ghanush - Madynati;غنوش - مدینتي;228;0,065743945;2;12675;124;60;3468;3652
Ghardimaou;غار الدماء;غار الدماء;Liste de coalition;Front Populaire;الجبھة الشعبیة;439;0,074799796;2;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;170;0,028965752;0;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste partisane;AL IRADA;حراك تونس الارادة;188;0,032032714;1;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste partisane;Nidaa Tounes;حركة نداء تونس;1471;0,25063895;8;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste partisane;Ennahdha;حزب حركة النھضة;1737;0,295961833;9;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste indépendante;Ghar Aldima Ghoudwa Khyr;غار الدماء غدوة خیر;537;0,0914977;3;20171;289;174;5869;6332
Ghardimaou;غار الدماء;غار الدماء;Liste indépendante;Mustaqbal Biladi;مستقبل بلادي;1327;0,226103254;7;20171;289;174;5869;6332
Ghomrassen;غمراسن;غمراسن;Liste indépendante;Al Muwatana;المواطنة;207;0,095567867;2;7818;71;39;2166;2276
Ghomrassen;غمراسن;غمراسن;Liste partisane;Nidaa Tounes;حركة نداء تونس;213;0,09833795;2;7818;71;39;2166;2276
Ghomrassen;غمراسن;غمراسن;Liste partisane;Ennahdha;حزب حركة النھضة;1266;0,584487535;10;7818;71;39;2166;2276
Ghomrassen;غمراسن;غمراسن;Liste indépendante;Ghomrassin Fi Alqalb;غمراسن في القلب;338;0,156048015;3;7818;71;39;2166;2276
Ghomrassen;غمراسن;غمراسن;Liste partisane;El Binaa Al Watani;فك بلاصتك;142;0,065558633;1;7818;71;39;2166;2276
Ghraiba;الغریبة;الغريبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1069;0,575659666;10;7670;90;46;1857;1993
Ghraiba;الغریبة;الغريبة;Liste partisane;Ennahdha;حزب حركة النھضة;644;0,346795907;6;7670;90;46;1857;1993
Ghraiba;الغریبة;الغريبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;144;0,077544426;2;7670;90;46;1857;1993
Goubellat;قبلاط;قبلاط;Liste partisane;AL IRADA;حراك تونس الارادة;120;0,092807425;2;5579;67;72;1293;1432
Goubellat;قبلاط;قبلاط;Liste partisane;Machrouu Tounes;حركة مشروع تونس;220;0,170146945;3;5579;67;72;1293;1432
Goubellat;قبلاط;قبلاط;Liste partisane;Nidaa Tounes;حركة نداء تونس;432;0,334106729;6;5579;67;72;1293;1432
Goubellat;قبلاط;قبلاط;Liste partisane;Ennahdha;حزب حركة النھضة;279;0,215777262;4;5579;67;72;1293;1432
Goubellat;قبلاط;قبلاط;Liste indépendante;Qubilat Aljadyda;قبلاط الجدیدة;242;0,18716164;3;5579;67;72;1293;1432
Gremda;قرمدة;قرمدة;Liste indépendante;Almustaqbal;المستقبل;902;0,111138492;3;17166;116;92;8116;8324
Gremda;قرمدة;قرمدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;866;0,106702809;3;17166;116;92;8116;8324
Gremda;قرمدة;قرمدة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;1178;0,145145392;3;17166;116;92;8116;8324
Gremda;قرمدة;قرمدة;Liste partisane;Ennahdha;حزب حركة النھضة;3017;0,371734845;9;17166;116;92;8116;8324
Gremda;قرمدة;قرمدة;Liste indépendante;Shay Ma Ytakhaba;شي ما یتخبا;214;0,026367669;0;17166;116;92;8116;8324
Gremda;قرمدة;قرمدة;Liste indépendante;Qaramdat Ghadwat Khyr;قرمدة غدوة خیر;1939;0,238910793;6;17166;116;92;8116;8324
Grimet Hicher;القریمات ھیشر;القريمات - هيشر;Liste indépendante;Awlad Biladi;أولاد بلادي;1056;0,282504013;5;6898;143;55;3738;3936
Grimet Hicher;القریمات ھیشر;القريمات - هيشر;Liste partisane;Nidaa Tounes;حركة نداء تونس;509;0,136169074;2;6898;143;55;3738;3936
Grimet Hicher;القریمات ھیشر;القريمات - هيشر;Liste partisane;Ennahdha;حزب حركة النھضة;652;0,174424826;3;6898;143;55;3738;3936
Grimet Hicher;القریمات ھیشر;القريمات - هيشر;Liste indépendante;Eyn Alhayat;عین الحیاة;563;0,150615302;3;6898;143;55;3738;3936
Grimet Hicher;القریمات ھیشر;القريمات - هيشر;Liste indépendante;Qayimat Al'Amal Almustaqila;قائمة الأمل المستقلة;958;0,256286784;5;6898;143;55;3738;3936
Grombalia;قرمبالیة;قرمبالية;Liste indépendante;Itihad Shabab Grombalia;اتحاد شباب قرمبالیة;338;0,043405676;1;23508;275;174;7787;8236
Grombalia;قرمبالیة;قرمبالية;Liste de coalition;Union Civile;الإتحاد المدني;1088;0,139720046;3;23508;275;174;7787;8236
Grombalia;قرمبالیة;قرمبالية;Liste de coalition;Front Populaire;الجبھة الشعبیة;536;0,06883267;2;23508;275;174;7787;8236
Grombalia;قرمبالیة;قرمبالية;Liste partisane;Nidaa Tounes;حركة نداء تونس;2408;0,309233338;8;23508;275;174;7787;8236
Grombalia;قرمبالیة;قرمبالية;Liste partisane;Ennahdha;حزب حركة النھضة;1986;0,255040452;6;23508;275;174;7787;8236
Grombalia;قرمبالیة;قرمبالية;Liste indépendante;Grombalia Alghad;قرمبالیة الغد;1431;0,183767818;4;23508;275;174;7787;8236
Habib Thameur;الحبیب ثامر بوعطوش;الحبيب ثامر - بوعطوش;Liste partisane;AL IRADA;حراك تونس الارادة;896;0,222498138;4;14238;219;80;4027;4326
Habib Thameur;الحبیب ثامر بوعطوش;الحبيب ثامر - بوعطوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;421;0,104544326;2;14238;219;80;4027;4326
Habib Thameur;الحبیب ثامر بوعطوش;الحبيب ثامر - بوعطوش;Liste partisane;Ennahdha;حزب حركة النھضة;2216;0,550285572;10;14238;219;80;4027;4326
Habib Thameur;الحبیب ثامر بوعطوش;الحبيب ثامر - بوعطوش;Liste indépendante;Farsan Altahadi;فرسان التحدي;494;0,122671964;2;14238;219;80;4027;4326
Haffouz;حفوز;حفوز;Liste indépendante;Al'Iishraq;الإشراق;474;0,086575342;2;13717;267;126;5475;5868
Haffouz;حفوز;حفوز;Liste indépendante;Al'Amal Liljamye;الأمل للجمیع;676;0,12347032;3;13717;267;126;5475;5868
Haffouz;حفوز;حفوز;Liste indépendante;Albina' Waltanmya;البناء والتنمیة;1447;0,264292237;6;13717;267;126;5475;5868
Haffouz;حفوز;حفوز;Liste de coalition;Front Populaire;الجبھة الشعبیة;240;0,043835616;1;13717;267;126;5475;5868
Haffouz;حفوز;حفوز;Liste partisane;Nidaa Tounes;حركة نداء تونس;685;0,125114155;3;13717;267;126;5475;5868
Haffouz;حفوز;حفوز;Liste partisane;Ennahdha;حزب حركة النھضة;1953;0,356712329;9;13717;267;126;5475;5868
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste indépendante;Ahrar Hajib Alayoun;أحرار حاجب العیون;837;0,147281365;3;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste partisane;Courant Démocrate;التیار الدمقراطي;522;0,091852895;2;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste de coalition;Front Populaire;الجبھة الشعبیة;374;0,042231216;1;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste indépendante;Tashyh Almasar;تصحیح المسار;1019;0,179306704;3;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste partisane;Nidaa Tounes;حركة نداء تونس;776;0,136547598;3;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste partisane;Ennahdha;حزب حركة النھضة;746;0,131268696;2;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste indépendante;Sawaeid Alhur;سواعد الحر;399;0,070209396;1;11965;330;101;5683;6114
Hajeb El Ayoun;حاجب العیون;حاجب العيون;Liste indépendante;Mustaqbal Hajib Al Aayoun;مستقبل حاجب العیون;1010;0,177723034;3;11965;330;101;5683;6114
Hamet Ejrid;حامة الجرید;حامة الجريد;Liste indépendante;Al Aamal;العمل;554;0,350854972;4;4932;103;47;1579;1729
Hamet Ejrid;حامة الجرید;حامة الجريد;Liste partisane;Machrouu Tounes;حركة مشروع تونس;328;0,207726409;2;4932;103;47;1579;1729
Hamet Ejrid;حامة الجرید;حامة الجريد;Liste partisane;Nidaa Tounes;حركة نداء تونس;207;0,13109563;2;4932;103;47;1579;1729
Hamet Ejrid;حامة الجرید;حامة الجريد;Liste partisane;Ennahdha;حزب حركة النھضة;490;0,310322989;4;4932;103;47;1579;1729
Hassi El Ferid;حاسي الفرید;حاسي الفريد;Liste indépendante;Altahadii;التحدى;1066;0,239927977;5;9162;206;75;4443;4724
Hassi El Ferid;حاسي الفرید;حاسي الفريد;Liste indépendante;Alshabab;الشباب;507;0,114112086;2;9162;206;75;4443;4724
Hassi El Ferid;حاسي الفرید;حاسي الفريد;Liste indépendante;Almustaqbal;المستقبل;289;0,06504614;1;9162;206;75;4443;4724
Hassi El Ferid;حاسي الفرید;حاسي الفريد;Liste partisane;Nidaa Tounes;حركة نداء تونس;1033;0,232500563;4;9162;206;75;4443;4724
Hassi El Ferid;حاسي الفرید;حاسي الفريد;Liste partisane;Ennahdha;حزب حركة النھضة;1548;0,348413234;6;9162;206;75;4443;4724
Hazeg El Louza;حزق اللوزة;حزق - اللوزة;Liste de coalition;Front Populaire;الجبھة الشعبیة;418;0,145189302;3;8203;118;82;2879;3079
Hazeg El Louza;حزق اللوزة;حزق - اللوزة;Liste partisane;Nidaa Tounes;حركة نداء تونس;841;0,292115318;5;8203;118;82;2879;3079
Hazeg El Louza;حزق اللوزة;حزق - اللوزة;Liste partisane;Ennahdha;حزب حركة النھضة;1620;0,56269538;10;8203;118;82;2879;3079
Hazoua;حزوة;حزوة;Liste indépendante;Almustaqbal;المستقبل;724;0,364002011;5;3450;97;23;1989;2109
Hazoua;حزوة;حزوة;Liste indépendante;Alwifaq;الوفاق;168;0,084464555;1;3450;97;23;1989;2109
Hazoua;حزوة;حزوة;Liste partisane;Nidaa Tounes;حركة نداء تونس;382;0,19205631;2;3450;97;23;1989;2109
Hazoua;حزوة;حزوة;Liste partisane;Ennahdha;حزب حركة النھضة;548;0,275515334;3;3450;97;23;1989;2109
Hazoua;حزوة;حزوة;Liste indépendante;Shabab Huzwat Al'Ahrar;شباب حزوة الأحرار;167;0,08396179;1;3450;97;23;1989;2109
Hebira;ھبیرة;هبيرة;Liste partisane;Afek Tounes;أفاق تونس;321;0,166839917;3;5037;195;64;1924;2183
Hebira;ھبیرة;هبيرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;609;0,316528067;6;5037;195;64;1924;2183
Hebira;ھبیرة;هبيرة;Liste partisane;Ennahdha;حزب حركة النھضة;994;0,516632017;9;5037;195;64;1924;2183
Hergla;ھرقلة;هرقلة;Liste indépendante;Al'Amal;الأمل;559;0,24283232;3;4431;129;46;2302;2477
Hergla;ھرقلة;هرقلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;525;0,228062554;3;4431;129;46;2302;2477
Hergla;ھرقلة;هرقلة;Liste partisane;Ennahdha;حزب حركة النھضة;438;0,190269331;2;4431;129;46;2302;2477
Hergla;ھرقلة;هرقلة;Liste indépendante;Hargula Amena;ھرقلة أمانة;780;0,338835795;4;4431;129;46;2302;2477
Hidra;حیدرة;حيدرة;Liste de coalition;Front Populaire;الجبھة الشعبیة;362;0,15849387;2;4973;106;43;2284;2433
Hidra;حیدرة;حيدرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;808;0,353765324;4;4973;106;43;2284;2433
Hidra;حیدرة;حيدرة;Liste partisane;Ennahdha;حزب حركة النھضة;486;0,212784588;3;4973;106;43;2284;2433
Hidra;حیدرة;حيدرة;Liste indépendante;Hydra Tatabadal;حیدرة تتبدل;628;0,274956217;3;4973;106;43;2284;2433
Jebel Oust;جبل الوسط;جبل الوسط;Liste de coalition;Union Civile;الإتحاد المدني;106;0,040974101;0;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste indépendante;Al'Amal;الأمل;591;0,228449942;3;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste indépendante;Alsafa;الصفاء;235;0,090838809;1;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste indépendante;Thaqafat Alaimtyaz;ثقافة الامتیاز;143;0,055276382;1;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste partisane;Nidaa Tounes;حركة نداء تونس;107;0,041360649;0;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste partisane;Ennahdha;حزب حركة النھضة;133;0,051410901;1;4271;67;41;2587;2695
Jebel Oust;جبل الوسط;جبل الوسط;Liste indépendante;Wardat Jabal Alwasat;وردة جبل الوسط;1272;0,491689215;6;4271;67;41;2587;2695
Jehina;جھینة;جهينة;Liste de coalition;Front Populaire;الجبھة الشعبیة;168;0,104672897;1;3727;109;50;1605;1764
Jehina;جھینة;جهينة;Liste indépendante;Alqayimat Almustaqilat Alzzytouna;القائمة المستقلة الزیتونة;270;0,168224299;2;3727;109;50;1605;1764
Jehina;جھینة;جهينة;Liste indépendante;Alwafa' Ltanmyat Jhyna;الوفاء لتنمیة جھینة;248;0,154517134;2;3727;109;50;1605;1764
Jehina;جھینة;جهينة;Liste partisane;Nidaa Tounes;حركة نداء تونس;644;0,401246106;5;3727;109;50;1605;1764
Jehina;جھینة;جهينة;Liste partisane;Ennahdha;حزب حركة النھضة;275;0,171339564;2;3727;109;50;1605;1764
Jemna;جمنة;جمنة;Liste indépendante;Alaintilaq;الانطلاق;261;0,145973154;2;3992;51;31;1788;1870
Jemna;جمنة;جمنة;Liste partisane;Nidaa Tounes;حركة نداء تونس;93;0,052013423;0;3992;51;31;1788;1870
Jemna;جمنة;جمنة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;891;0,498322148;6;3992;51;31;1788;1870
Jemna;جمنة;جمنة;Liste partisane;Ennahdha;حزب حركة النھضة;543;0,303691275;4;3992;51;31;1788;1870
Jendouba;جندوبة;جندوبة;Liste de coalition;Front Populaire;الجبھة الشعبیة;752;0,0740449;3;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste partisane;Mouvement Du Peuple;حركة الشعب;1331;0,131055534;5;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;351;0,034560851;1;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;3045;0,299822765;11;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste partisane;Ennahdha;حزب حركة النھضة;3502;0,344820796;13;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste indépendante;Souq Al'Arbiaa';سوق الاربعاء;403;0,039680977;1;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste indépendante;Shabab Jendouba Almustaqil;شباب جندوبة المستقل;476;0,046868846;2;49945;579;303;10156;11038
Jendouba;جندوبة;جندوبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;296;0,029145333;0;49945;579;303;10156;11038
Jouaouda;الجواودة;الجواودة;Liste indépendante;Alshuruq;الشروق;222;0,146341463;3;5476;109;60;1517;1686
Jouaouda;الجواودة;الجواودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;610;0,402109426;7;5476;109;60;1517;1686
Jouaouda;الجواودة;الجواودة;Liste partisane;Ennahdha;حزب حركة النھضة;685;0,45154911;8;5476;109;60;1517;1686
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste partisane;Afek Tounes;أفاق تونس;2389;0,289330265;9;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste indépendante;Zitouna;الزیتونة;207;0,025069638;0;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste indépendante;Alqalea Aljadyda;القلعة الجدیدة;927;0,112268378;3;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste indépendante;Alqaleat Awla;القلعة أولا;1479;0,179120746;6;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;937;0,113479472;3;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste partisane;Ennahdha;حزب حركة النھضة;1856;0,224778975;7;22671;276;123;8257;8656
Kalaa Kebira;القلعة الكبرى;القلعة الكبرى;Liste indépendante;Shababana Mustaqbalina;شبابنا مستقبلنا;462;0,055952525;2;22671;276;123;8257;8656
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste indépendante;Al'Iiqlae;الإقلاع;473;0,086015639;2;16450;178;125;5499;5802
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste indépendante;Altahadiy;التحدي;1151;0,209310784;5;16450;178;125;5499;5802
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;999;0,181669394;5;16450;178;125;5499;5802
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste partisane;Ennahdha;حزب حركة النھضة;1410;0,256410256;6;16450;178;125;5499;5802
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste indépendante;Qadamoun...;قادمون...;513;0,093289689;2;16450;178;125;5499;5802
Kalaa Sghira;القلعة الصغرى;القلعة الصغرى;Liste indépendante;Lazimna Naqifuu Lilqalea;لازمنا ناقفوا للقلعة;953;0,173304237;4;16450;178;125;5499;5802
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste indépendante;Asala;أصالة;363;0,17715959;2;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste partisane;Courant Démocrate;التیار الدمقراطي;236;0,115178136;2;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste indépendante;Alqayimat Almustaqila Alwifaq;القائمة المستقلة الوفاق;79;0,038555393;1;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste indépendante;Alnnouhoudh Bialqlaa Alkhsba;النھوض بالقلعة الخصبة;553;0,26988775;3;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste indépendante;Alnour;النور;213;0,103953148;1;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste partisane;Nidaa Tounes;حركة نداء تونس;236;0,115178136;1;3766;136;43;2049;2228
Kalaat Khasbat;القلعة الخصباء;القلعة الخصباء;Liste partisane;Ennahdha;حزب حركة النھضة;369;0,180087848;2;3766;136;43;2049;2228
Kalaat Senan;قلعة سنان;قلعة سنان;Liste indépendante;Al'Amal W Albina';الامل و البناء;304;0,110666181;2;7435;220;58;2747;3025
Kalaat Senan;قلعة سنان;قلعة سنان;Liste de coalition;Front Populaire;الجبھة الشعبیة;143;0,052056789;1;7435;220;58;2747;3025
Kalaat Senan;قلعة سنان;قلعة سنان;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;510;0,18565708;3;7435;220;58;2747;3025
Kalaat Senan;قلعة سنان;قلعة سنان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;368;0,133964325;3;7435;220;58;2747;3025
Kalaat Senan;قلعة سنان;قلعة سنان;Liste partisane;Nidaa Tounes;حركة نداء تونس;656;0,23880597;4;7435;220;58;2747;3025
Kalaat Senan;قلعة سنان;قلعة سنان;Liste partisane;Ennahdha;حزب حركة النھضة;766;0,278849654;5;7435;220;58;2747;3025
Kasserine;القصرین;القصرين;Liste de coalition;Union Civile;الاتحاد المدني;292;0,04885394;1;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste indépendante;Al'Ahrar;الأحرار;998;0,166973398;4;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste partisane;Courant Démocrate;التیار الدمقراطي;815;0,136356031;3;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste de coalition;Front Populaire;الجبھة الشعبیة;375;0,062740505;2;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste indépendante;Almuatnyya Maakoum Nastatye;المواطنیة معكم نستطیع;467;0,078132843;2;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1498;0,250627405;6;19675;204;83;5977;6264
Kasserine;القصرین;القصرين;Liste partisane;Ennahdha;حزب حركة النھضة;1532;0,256315878;6;19675;204;83;5977;6264
Kebili;قبلي;قبلي;Liste de coalition;Union Civile;الإتحاد المدني;545;0,080466558;2;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste indépendante;Al'Iislah W Altanmya;الإصلاح و التنمیة;305;0,045031744;1;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste indépendante;Althibat;الثبات;313;0,046212904;1;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste partisane;AL IRADA;حراك تونس الارادة;328;0,04842758;1;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste partisane;Nidaa Tounes;حركة نداء تونس;1034;0,152664993;4;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;805;0,118854274;3;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste partisane;Mouvement Du Peuple;حزب حركة الشعب;862;0,127270043;3;23887;231;175;6773;7179
Kebili;قبلي;قبلي;Liste partisane;Ennahdha;حزب حركة النھضة;2581;0,381071903;9;23887;231;175;6773;7179
Kerkennah;قرقنة;قرقنة;Liste indépendante;Ahibba' Aljazyra;احباء الجزیرة;372;0,105982906;2;9202;73;55;3510;3638
Kerkennah;قرقنة;قرقنة;Liste de coalition;Front Populaire;الجبھة الشعبیة;532;0,151566952;3;9202;73;55;3510;3638
Kerkennah;قرقنة;قرقنة;Liste partisane;Nidaa Tounes;حركة نداء تونس;539;0,153561254;3;9202;73;55;3510;3638
Kerkennah;قرقنة;قرقنة;Liste partisane;Ennahdha;حزب حركة النھضة;595;0,16951567;3;9202;73;55;3510;3638
Kerkennah;قرقنة;قرقنة;Liste indépendante;Shirae Kerkennah;شراع قرقنة;600;0,170940171;3;9202;73;55;3510;3638
Kerkennah;قرقنة;قرقنة;Liste indépendante;Klna Kerkennah;كلنا قرقنة;872;0,248433048;4;9202;73;55;3510;3638
Kerker;كركر;كركر;Liste partisane;Afek Tounes;أفاق تونس;180;0,052724077;1;7198;106;54;3414;3574
Kerker;كركر;كركر;Liste indépendante;Al'Ahrar;الأحرار;253;0,07410662;1;7198;106;54;3414;3574
Kerker;كركر;كركر;Liste indépendante;Al'Iiqlaa;الاقلاع;714;0,20913884;4;7198;106;54;3414;3574
Kerker;كركر;كركر;Liste indépendante;Alwifaq;الوفاق;310;0,090802578;2;7198;106;54;3414;3574
Kerker;كركر;كركر;Liste partisane;Nidaa Tounes;حركة نداء تونس;560;0,164030463;3;7198;106;54;3414;3574
Kerker;كركر;كركر;Liste partisane;Ennahdha;حزب حركة النھضة;1397;0,409197422;7;7198;106;54;3414;3574
Kesra;كسرى;كسرى;Liste indépendante;Aitihad Shabab Kisraa;اتحاد شباب كسرى;132;0,05447792;1;7794;207;72;2423;2702
Kesra;كسرى;كسرى;Liste partisane;Afek Tounes;أفاق تونس;98;0,040445728;1;7794;207;72;2423;2702
Kesra;كسرى;كسرى;Liste partisane;Courant Démocrate;التیار الدمقراطي;406;0,167560875;3;7794;207;72;2423;2702
Kesra;كسرى;كسرى;Liste partisane;Nidaa Tounes;حركة نداء تونس;280;0,115559224;2;7794;207;72;2423;2702
Kesra;كسرى;كسرى;Liste partisane;Ennahdha;حزب حركة النھضة;825;0,340487;6;7794;207;72;2423;2702
Kesra;كسرى;كسرى;Liste indépendante;Mustaqilat Al'Amal;مستقلة الأمل;682;0,281469253;5;7794;207;72;2423;2702
Ketana;كتانة;كتانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;497;0,257646449;5;7307;75;56;1929;2060
Ketana;كتانة;كتانة;Liste partisane;Ennahdha;حزب حركة النھضة;973;0,504406428;9;7307;75;56;1929;2060
Ketana;كتانة;كتانة;Liste indépendante;Qayimat Almustaqbal;قائمة المستقبل;199;0,10316226;2;7307;75;56;1929;2060
Ketana;كتانة;كتانة;Liste indépendante;Min Ajl Altanmiya;من أجل التنمیة;260;0,134784863;2;7307;75;56;1929;2060
Khmeyria;الخمایریة;الخمايرية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1449;0,728873239;13;7137;203;52;1988;2243
Khmeyria;الخمایریة;الخمايرية;Liste partisane;Ennahdha;حزب حركة النھضة;539;0,271126761;5;7137;203;52;1988;2243
Khmouda;خمودة;خمودة;Liste indépendante;Alwafa';الوفاء;544;0,229052632;4;6186;98;31;2375;2504
Khmouda;خمودة;خمودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1036;0,436210526;8;6186;98;31;2375;2504
Khmouda;خمودة;خمودة;Liste partisane;Ennahdha;حزب حركة النھضة;795;0,334736842;6;6186;98;31;2375;2504
Korbous;قربص;قربص;Liste indépendante;Althibat;الثبات;290;0,245971162;3;1966;39;19;1179;1237
Korbous;قربص;قربص;Liste indépendante;Alqayimat Almustaqilat Alwird;القائمة المستقلة الورد;429;0,363867684;4;1966;39;19;1179;1237
Korbous;قربص;قربص;Liste indépendante;Alnazaha;النزاھة;151;0,12807464;2;1966;39;19;1179;1237
Korbous;قربص;قربص;Liste partisane;Nidaa Tounes;حركة نداء تونس;168;0,142493639;2;1966;39;19;1179;1237
Korbous;قربص;قربص;Liste partisane;Ennahdha;حزب حركة النھضة;141;0,119592875;1;1966;39;19;1179;1237
Ksibet Thrayet;قصیبة الثریات;قصيبة - الثريات;Liste indépendante;Al'Amal;الأمل;181;0,059383202;1;6237;123;42;3048;3213
Ksibet Thrayet;قصیبة الثریات;قصيبة - الثريات;Liste indépendante;Altahadiy;التحدي;1483;0,486548556;9;6237;123;42;3048;3213
Ksibet Thrayet;قصیبة الثریات;قصيبة - الثريات;Liste indépendante;Alqayimat Almustaqilat Al'Iislah W Almusalaha;القائمة المستقلة الإصلاح و المصالحة;131;0,042979003;1;6237;123;42;3048;3213
